    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
128 ;56    ;4                ;['Manu']               ;74            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;726  ;720      ;739
129 ;56    ;4                ;['Manu']               ;75            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;722  ;720      ;739
130 ;56    ;4                ;['Manu']               ;76            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;718  ;720      ;739
131 ;56    ;4                ;['Manu']               ;77            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;714  ;720      ;739
132 ;56    ;4                ;['Manu']               ;78            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;710  ;720      ;739
133 ;56    ;4                ;['Manu']               ;79            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;706  ;720      ;739
134 ;56    ;4                ;['Manu']               ;80            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;702  ;720      ;739
135 ;56    ;4                ;['Manu']               ;81            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;698  ;720      ;739
136 ;56    ;4                ;['Manu']               ;82            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;694  ;720      ;739
137 ;56    ;4                ;['Manu']               ;83            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;690  ;720      ;739
138 ;56    ;4                ;['Manu']               ;84            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;686  ;720      ;739
139 ;56    ;4                ;['Manu']               ;85            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;682  ;720      ;739
140 ;56    ;4                ;['Manu']               ;86            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;678  ;720      ;739
141 ;56    ;4                ;['Manu']               ;87            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;674  ;720      ;739
142 ;56    ;4                ;['Manu']               ;88            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;670  ;720      ;739
